Order ID,Order Date,Customer,Country,Region,Sales,Profit,Category,Quantity,Discount
ORD-2473,06/12/2025,Li Wei,india ,East,4193.52,1209.66,tech,8,0.02
ORD-1243,18/01/2021,Li Wei,Germany,,946.59,1073.41,Technology,12,0.43
ORD-6024,10/03/2022,Li Wei,USA,Central,2359.71,638.83,tech,11,0.06
ORD-8643,20/10/2018,Fatima Khan,,North,3028.61,-243.36,Furniture ,14,0.23
ORD-5319,21/05/2022,Maria Garcia,,East,4059.05,798.72,Furniture ,15,0.07
ORD-9886,19/10/2021,John Smith,USA, SOUTH,1134.09,584.12,Furniture,12,0.46
ORD-7024,23/07/2024,Liam Wilson,USA,,4840.2,360.62,Furniture ,2,0.11
ORD-3810,24/02/2019,Ravi Kumar,,West,7.85,114.94,Furniture ,7,0.15
ORD-1603,06/05/2022,Li Wei,UK,,4499.56,371.5,Furniture,4,0.33
ORD-4277,24/09/2023,Fatima Khan,Canada,South,2493.83,422.24,Office Supplies,11,0.2
ORD-3944,08/08/2019,Fatima Khan,Canada,West,656.32,635.25,,12,0.28
ORD-6123,04/07/2022,John Smith,, SOUTH,3259.64,,Office Supplies,11,0.05
ORD-9298,10/09/2022,Olivia Martin,,West,4763.93,287.95,Furniture,1,0.39
ORD-6462,29/05/2023,Chen Zhao,India,north ,1587.08,-444.24,Technology,8,0.17
ORD-2453,29/08/2025,John Smith,Australia,West,3310.36,1181.07,Technology,7,0.47
ORD-3534,25/03/2025,Li Wei,Germany,north ,2184.78,351.6,Furniture,6,0.41
ORD-9813,02/12/2020,Ava Thomas,India,,449.34,-304.3,Technology,5,0.16
ORD-9105,15/04/2022,Alice Brown,Germany, SOUTH,2411.77,159.84,tech,6,0.21
ORD-8753,29/11/2018,Ava Thomas,Australia, SOUTH,2564.52,368.07,Technology,10,0.09
ORD-2896,13/08/2022,Liam Wilson,Australia, SOUTH,271.82,-211.67,tech,4,0.21
ORD-2740,25/01/2025,Olivia Martin,UK,East,2439.86,1377.7,Office Supplies,11,0.44
ORD-4106,08/12/2024,Maria Garcia,Germany,Central,4356.32,-461.25,Furniture ,2,0.16
ORD-7558,19/08/2020,Liam Wilson,Australia, SOUTH,1108.89,948.6,Technology,14,0.34
ORD-2290,18/04/2019,Ava Thomas,india , SOUTH,3432.36,701.8,Furniture ,3,0.24
ORD-9856,05/11/2020,Maria Garcia,India,North,1195.89,1199.13,Furniture ,2,0.18
ORD-4942,10/01/2025,Ava Thomas,Australia, SOUTH,4575.27,1100.83,Technology,6,0.34
ORD-9362,21/12/2022,Li Wei,, SOUTH,2736.49,-59.69,Furniture,3,0.05
ORD-1525,17/06/2018,David Johnson,india ,,2004.26,-247.85,tech,14,0.2
ORD-4165,14/01/2018,Ravi Kumar,Germany,north ,2816.05,187.35,tech,2,0.04
ORD-2887,31/01/2024,Noah Taylor,india ,North,1162.98,385.04,tech,9,0.46
ORD-2182,05/12/2024,Ravi Kumar,USA,North,4892.22,380.4,tech,4,0.47
ORD-2266,01/08/2024,Li Wei,Germany,,4552.96,,Furniture ,5,0.06
ORD-4898,01/09/2024,John Smith,Germany,north ,434.88,-170.52,Technology,1,0.43
ORD-5716,05/03/2020,Li Wei,Germany,north ,2729.72,1458.08,Furniture,12,0.13
ORD-3063,25/09/2019,Liam Wilson,Canada,Central,1428.52,1395.87,tech,2,0.47
ORD-1067,03/08/2023,Olivia Martin,Canada,north ,443.38,1466.68,,2,0.06
ORD-1173,02/02/2018,Li Wei,,Central,3866.97,388.07,Office Supplies,10,0.21
ORD-6350,05/05/2022,Ava Thomas,Germany,West,3450.42,416.54,Furniture ,9,0.24
ORD-6377,17/05/2018,Maria Garcia,Canada,Central,1481.91,63.06,,15,0.46
ORD-2337,11/03/2021,Ravi Kumar,,north ,718.6,-160.94,,3,0.41
ORD-4883,03/08/2025,Alice Brown,india , SOUTH,4179.52,248.14,Technology,2,0.49
ORD-2112,03/11/2025,David Johnson,UK, SOUTH,3837.1,-294.17,,9,0.41
ORD-4675,20/08/2024,Noah Taylor,india ,north ,2462.68,-416.02,tech,15,0.21
ORD-4872,28/09/2023,Maria Garcia,USA,Central,1434.39,1468.21,Technology,11,0.18
ORD-9045,04/06/2024,Ava Thomas,UK, SOUTH,3719.72,226.73,Furniture ,12,0.28
ORD-1011,06/12/2020,Fatima Khan,Germany,West,2691.06,-253.8,tech,14,0.42
ORD-6282,18/04/2021,Maria Garcia,,North,3522.25,-188.47,Furniture ,2,0.43
ORD-8759,15/11/2020,Maria Garcia,Germany,North,1773,826.57,Technology,8,0.13
ORD-3649,07/06/2023,Fatima Khan,Canada,East,182.82,-359.05,Office Supplies,6,0.12
ORD-5226,06/11/2020,John Smith,, SOUTH,4158.63,-192.5,Furniture,6,0.1
ORD-2504,12/05/2025,David Johnson,Australia,Central,2891.64,-494.53,Furniture,14,0.5
ORD-2239,01/03/2018,alice brown,Australia,South,1931.36,999.61,tech,4,0.39
ORD-8001,11/08/2023,Olivia Martin,Germany,north ,,619.78,tech,8,0.14
ORD-9317,08/04/2022,Chen Zhao,Germany,East,2249.11,913.56,tech,5,0.29
ORD-5255,28/05/2021,Ava Thomas,Germany,East,3283.01,617.84,Furniture ,10,0.08
ORD-9076,24/02/2018,Alice Brown,Germany,West,3525.22,868.3,tech,8,0.32
ORD-4596,07/03/2019,Chen Zhao,India, SOUTH,3774.51,119.07,Furniture ,6,0.42
ORD-2342,07/05/2022,David Johnson,,East,3645.46,1026.41,Furniture,9,0.29
ORD-3253,24/01/2023,John Smith,Canada,South,4774.56,-178.64,Office Supplies,10,0.37
ORD-6519,05/05/2020,Chen Zhao,USA,North,2236.54,-245.64,,7,0.12
ORD-1090,19/08/2018,Ava Thomas,UK,Central,3301.32,764.16,tech,8,0.31
ORD-7924,20/01/2024,Maria Garcia,india ,South,1158.54,523.89,Furniture ,8,0.47
ORD-7106,01/02/2022,Ravi Kumar,Germany,north ,3436.23,1362.76,Furniture ,14,0.46
ORD-4472,01/11/2020,Liam Wilson,UK, SOUTH,4497.88,-24.07,tech,6,0.08
ORD-5882,21/10/2024,Ravi Kumar,india ,North,4538.46,-125.68,tech,1,0.02
ORD-8151,06/05/2019,Chen Zhao,Germany,South,3129.12,-56.27,Office Supplies,4,0.04
ORD-6021,15/06/2024,Olivia Martin,India,NORTH ,2652.14,1311.48,Furniture ,6,0.07
ORD-5946,31/12/2025,Ravi Kumar,Germany,West,2456.5,58.91,Furniture,12,0.4
ORD-8694,25/11/2020,Olivia Martin,india ,north ,3959.07,-466.68,Technology,5,0.04
ORD-3636,13/05/2024,Liam Wilson,Australia,West,4309.96,472.87,Furniture ,8,0.15
ORD-9520,30/07/2024,David Johnson,india ,South,960.57,-469.86,,14,0.01
ORD-3980,14/10/2024,David Johnson,Germany,East,3870.02,-185.28,Technology,15,0.49
ORD-4837,16/08/2024,Ravi Kumar,Australia,South,2169.92,-478.48,,10,0.19
ORD-6062,25/01/2021,Noah Taylor,USA,East,3209.17,-291.39,,13,0.3
ORD-3361,26/12/2021,Maria Garcia,Canada,,2716.29,380.45,Furniture,13,0.36
ORD-7417,26/08/2024,Liam Wilson,India,South,3990.46,1464.65,Furniture,3,0.43
ORD-9762,14/07/2022,John Smith,India,East,931.68,-379.82,Furniture ,3,0.25
ORD-6364,22/11/2022,Liam Wilson,, SOUTH,1361.01,47.06,,7,0.09
ORD-4773,06/05/2025,John Smith,,West,2989.01,170.4,Furniture,3,0.13
ORD-7498,30/07/2022,Noah Taylor,Canada,North,4164.26,1364.15,,6,0.16
ORD-1789,17/05/2022,Chen Zhao,Canada,North,2109.26,688.63,tech,4,0.45
ORD-8490,14/03/2018,Noah Taylor,india ,North,2682.45,-434.34,Furniture,13,0.05
ORD-4231,20/10/2025,Noah Taylor,Canada, SOUTH,1424.66,181.04,,7,0.24
ORD-5636,17/03/2022,Li Wei,india , SOUTH,3642.35,,tech,9,0.15
ORD-9782,02/04/2018,Ravi Kumar,UK,East,1037.35,915.23,Furniture,9,0.33
ORD-6543,12/04/2025,Maria Garcia,Australia,West,3385.31,-70.92,Technology,4,0.39
ORD-2115,18/05/2024,Maria Garcia,Canada, SOUTH,1574.87,144.27,Furniture,15,0.14
ORD-8905,24/02/2021,Noah Taylor,USA, SOUTH,1401.19,113.04,tech,12,0.05
ORD-5813,23/06/2022,Chen Zhao,Australia,Central,1382.41,1098.11,Technology,15,0.04
ORD-2523,05/08/2018,John Smith,Canada,North,2715.24,353.36,Office Supplies,3,0.3
ORD-7837,12/06/2020,David Johnson,Germany,,4172.6,-129.91,tech,14,0.01
ORD-6916,28/08/2022,Chen Zhao,Germany,Central,4173.18,14.87,Office Supplies,10,0.38
ORD-7006,02/03/2023,Chen Zhao,,South,467.58,-264.45,Furniture,8,0.2
ORD-3303,28/05/2018,Ravi Kumar,USA,Central,1268.85,495.49,Office Supplies,15,0.29
ORD-4834,10/08/2024,Maria Garcia,Canada,East,2445.14,837,,11,0.29
ORD-7426,16/07/2025,John Smith,USA,West,2004.83,43.54,,4,0.28
ORD-6136,26/04/2023,John Smith,Australia,West,1980.06,-45.87,tech,4,0.1
ORD-7250,22/03/2022,Liam Wilson,Canada, SOUTH,3406.68,36.14,Office Supplies,7,0.33
ORD-8341,04/09/2018,Olivia Martin,Germany,South,3447,1259.8,Office Supplies,11,0.26
ORD-4595,14/02/2024,Ava Thomas,USA,West,4740.29,980.45,Furniture,14,0.42
ORD-2588,09/09/2019,Chen Zhao,,West,4112.18,254.08,tech,5,0.39
ORD-9337,03/03/2022,Chen Zhao,India, SOUTH,3679,938.53,,5,0.19
ORD-7346,25/03/2023,John Smith,Canada,West,2763.06,239.27,Technology,6,0
ORD-1235,20/06/2018,David Johnson,Canada, SOUTH,1794.49,816.81,Office Supplies,11,0.04
ORD-4042,14/06/2018,Li Wei,Germany,Central,4118.5,742.65,tech,14,0.41
ORD-5992,22/08/2018,Li Wei,Germany,West,3115.82,-348.13,,5,0.01
ORD-1154,12/02/2020,Ravi Kumar,UK,Central,1481.19,447.44,Furniture,10,0.06
ORD-2119,15/10/2025,Ravi Kumar,india ,West,1203.68,-141.65,,10,0.31
ORD-9035,24/09/2019,Liam Wilson,Canada,West,120.28,1381.38,,11,0.19
ORD-3935,12/06/2023,Fatima Khan,India,,4872.36,-435.35,tech,9,0.18
ORD-1233,20/02/2022,Alice Brown,india , SOUTH,3931.58,543.58,Furniture ,2,0.5
ORD-3167,07/01/2025,Noah Taylor,UK,East,1021.4,253.91,Furniture ,10,0.25
ORD-9662,24/11/2025,John Smith,UK, SOUTH,501.78,100.34,tech,11,0.3
ORD-2406,10/04/2023,John Smith,Australia,East,4759.89,53.84,tech,15,0.13
ORD-6027,18/07/2019,Chen Zhao,,SOUTH,3013.47,-256.43,Technology,14,0.06
ORD-1683,09/11/2021,John Smith,UK,,79.37,-73.31,Furniture ,15,0.15
ORD-8022,26/11/2023,Fatima Khan,,,1233.19,333.29,Furniture ,4,0.48
ORD-6747,15/03/2021,Liam Wilson,Germany,South,665.44,1425.31,tech,1,0.37
ORD-4116,06/10/2025,Noah Taylor,USA,north ,4225.17,824.41,tech,8,0.16
ORD-7015,29/03/2019,Li Wei,India, SOUTH,160.76,248.24,Furniture,7,0.15
ORD-6425,26/02/2022,Liam Wilson,Canada, SOUTH,4630.69,1262.84,,1,0.17
ORD-8336,20/05/2023,Liam Wilson,, SOUTH,3548.96,-31.3,Furniture ,2,0.16
ORD-2538,19/04/2018,Alice Brown,Canada, SOUTH,3693.77,701.99,Furniture ,8,0.33
ORD-8948,23/04/2025,Alice Brown,Australia,South,2502.3,,Technology,12,0.02
ORD-1033,29/05/2020,Alice Brown,UK,north ,3720.18,220.9,Furniture,8,0.13
ORD-2113,17/06/2024,Maria Garcia,,Central,4335.42,793.37,Furniture ,15,0.07
ORD-6135,05/10/2018,Maria Garcia,India,South,1134.18,1397.38,Furniture,15,0.12
ORD-6003,01/12/2024,Ravi Kumar,India,,3567.2,-430.16,Furniture,14,0.26
ORD-5215,21/10/2025,David Johnson,india ,North,3647.2,1269.45,tech,4,0.43
ORD-4726,04/07/2018,fatima khan,India,north ,3699.55,-460.4,Office Supplies,14,0.28
ORD-1095,30/05/2023,John Smith,India,South,282.31,755.38,Office Supplies,8,0.42
ORD-1678,02/07/2019,Fatima Khan,,north ,2619.58,1456.93,tech,11,0
ORD-7263,26/03/2019,Ava Thomas,Canada,South,383.82,636.32,,15,0.34
ORD-5677,14/09/2020,Fatima Khan,India,north ,1831.08,306.22,,1,0.25
ORD-5332,18/08/2023,Maria Garcia,Canada,North,53.27,1331.97,Office Supplies,1,0.01
ORD-6598,31/01/2024,John Smith,Canada,West,3023.8,1375.12,Furniture,8,0.22
ORD-4062,24/11/2025,Chen Zhao,india ,South,4748.93,321.13,Technology,14,0.14
ORD-7619,10/04/2023,David Johnson,India,West,1919.94,1370.73,tech,3,0.39
ORD-1740,13/04/2025,Chen Zhao,UK,South,4873.87,49.68,Furniture,13,0.19
ORD-3813,22/10/2021,Ravi Kumar,india , SOUTH,1887.78,1123.65,tech,6,0.33
ORD-4077,16/05/2023,Olivia Martin,India,South,3593.88,343.06,,4,0.4
ORD-1283,06/09/2018,David Johnson,Canada,East,1660.57,230.07,Office Supplies,8,0.13
ORD-2973,26/02/2022,Chen Zhao,Germany,CENTRAL,2781.77,1351.39,tech,8,0.42
ORD-5750,30/05/2021,Ava Thomas,UK,North,4932,756.3,,12,0.16
ORD-5521,04/04/2019,Li Wei,Australia,South,958.72,872.4,,9,0.35
ORD-4239,10/04/2020,Maria Garcia,india ,West,1351.71,-272.57,Office Supplies,2,0.2
ORD-1789,11/02/2025,Alice Brown,USA,North,228.79,-116.74,Furniture ,7,0.08
ORD-8299,12/10/2025,Li Wei,india ,Central,3378.77,172.3,,6,0.12
ORD-2503,14/09/2019,John Smith,,north ,746.81,345.72,Office Supplies,8,0.11
ORD-2315,29/05/2021,Alice Brown,india ,,2390.95,1456.07,Office Supplies,13,0.03
ORD-6036,16/04/2023,Olivia Martin,Germany,North,4437.92,145.17,Office Supplies,9,0.13
ORD-1773,09/07/2023,Alice Brown,Australia,,2413.1,-117.43,Furniture,4,0.45
ORD-7385,20/11/2025,Liam Wilson,,East,4386.19,444.54,Furniture,15,0.24
ORD-1539,16/05/2019,Li Wei,India, SOUTH,3280.26,-149.06,Furniture ,11,0.29
ORD-4505,24/10/2021,noah taylor,Germany,East,525.69,205.35,Furniture ,5,0.36
ORD-9968,08/05/2022,Liam Wilson,,North,1263.88,37.56,Technology,14,0.06
ORD-7334,30/09/2020,Fatima Khan,Germany,Central,1141.66,665.73,Furniture ,5,0.49
ORD-2244,16/06/2020,Ava Thomas,india ,north ,3964.2,-27.5,tech,10,0.06
ORD-4393,22/04/2022,David Johnson,India,South,2907.09,-58.21,Furniture,2,0.33
ORD-4710,16/08/2025,Noah Taylor,Australia,North,1695.47,931.65,Technology,15,0.06
ORD-3644,20/02/2021,David Johnson,India,West,3190.7,1029.15,Office Supplies,14,0.05
ORD-4449,01/04/2019,Olivia Martin,India,NORTH ,3235.59,-481.97,,5,0.09
ORD-3432,08/01/2019,Olivia Martin,Germany,East,4314.87,274.84,Technology,2,0.29
ORD-1654,22/03/2024,John Smith,USA,,4276.99,248.56,Furniture ,10,0.12
ORD-6677,24/11/2025,Ava Thomas,India,South,4586.42,399.1,tech,6,0.42
ORD-2065,24/12/2025,Noah Taylor,USA,East,2998.41,,Furniture,7,0.21
ORD-7087,24/03/2023,Ravi Kumar,Australia,West,2440.88,1152.96,tech,13,0.43
ORD-2392,06/08/2019,liam wilson,India,South,4067.3,-195.69,,12,0.33
ORD-4294,05/04/2023,Maria Garcia,Australia,north ,175.03,746.28,Furniture ,7,0.44
ORD-1959,03/11/2023,Fatima Khan,,,3784.99,694.19,Furniture ,10,0.21
ORD-7758,20/11/2019,Liam Wilson,Australia,north ,3847.94,986.17,Office Supplies,5,0.09
ORD-9953,08/05/2020,Li Wei,india ,north ,2257.17,745.4,Office Supplies,5,0.26
ORD-3370,01/09/2023,Chen Zhao,UK,north ,937.36,188.62,Technology,2,0.32
ORD-3803,03/06/2019,Maria Garcia,USA,West,2633.74,866.16,Technology,3,0.14
ORD-2163,10/07/2025,Alice Brown,India,north ,635.91,1488.57,Office Supplies,3,0.46
ORD-9942,19/02/2019,Fatima Khan,Canada,Central,4470.02,541.56,Office Supplies,6,0.32
ORD-8190,01/07/2018,Maria Garcia,Australia,Central,4528.57,-194.22,Furniture ,13,0.28
ORD-6047,23/06/2022,Chen Zhao,India,,3365.63,465.06,Furniture ,3,0.36
ORD-4444,19/07/2023,Li Wei,,Central,1518.94,148.06,,6,0.21
ORD-7327,29/01/2024,Ravi Kumar,Canada,,421.45,320.61,Office Supplies,10,0.04
ORD-9850,31/12/2025,Liam Wilson,,West,2337.38,-136.06,Furniture,9,0.35
ORD-9657,11/06/2021,Alice Brown,UK,North,4667.31,-41.04,,5,0.04
ORD-4144,12/12/2018,Liam Wilson,Canada,Central,2606.47,363.78,Furniture ,3,0.31
ORD-6988,02/04/2019,Ava Thomas,UK,North,4519.58,879.09,Office Supplies,1,0.15
ORD-9820,07/01/2020,David Johnson,Germany, SOUTH,3149.4,166.34,Technology,6,0.23
ORD-1686,05/05/2018,Noah Taylor,india ,Central,2078.35,,tech,5,0.44
ORD-4281,31/10/2022,David Johnson,UK,East,1019.08,1126.44,tech,9,0.28
ORD-2192,02/01/2018,David Johnson,UK,South,3794.64,1494.78,Technology,12,0.11
ORD-3521,14/05/2025,Ravi Kumar,India,Central,2014.76,1220.46,Furniture,4,0.32
ORD-8685,03/02/2019,Olivia Martin,Australia,North,3388.01,1080.3,tech,5,0.39
ORD-3588,16/05/2025,Liam Wilson,Canada,South,217.97,319.46,Furniture,4,0.09
ORD-2852,05/01/2019,Ava Thomas,Australia,South,2752.03,489.12,Office Supplies,10,0.06
ORD-1071,22/06/2024,Ravi Kumar,Australia, SOUTH,3077.34,487,Furniture ,8,0.04
ORD-7746,10/02/2021,Ava Thomas,Australia,West,244.95,-330.31,Furniture,3,0.36
ORD-3856,18/08/2020,Fatima Khan,,South,386.23,717.56,Technology,9,0.11
ORD-2298,12/12/2019,Maria Garcia,Germany,West,1095.85,,Furniture ,10,0.18
ORD-6304,13/02/2025,David Johnson,india , SOUTH,332.04,91.52,Furniture,12,0.45
ORD-6861,15/02/2020,Olivia Martin,Canada,,2352.69,1340.04,,14,0.46
ORD-6692,14/06/2019,John Smith,Canada,north ,2721.24,-57.83,Technology,2,0.13
ORD-2149,21/05/2023,Alice Brown,Canada,,785.46,1190.82,Furniture,4,0.43
ORD-4038,27/04/2025,fatima khan,Germany,,2296.97,905.43,Technology,15,0.27
ORD-4525,22/04/2024,David Johnson,Australia,South,2236.17,-81.01,,7,0.33
ORD-6966,30/05/2022,Chen Zhao,India,SOUTH,1805.5,1413.75,Furniture,11,0.44
ORD-2573,26/04/2021,John Smith,Australia,,1187.2,882.9,Office Supplies,14,0.11
ORD-6839,16/02/2022,Ava Thomas,UK, SOUTH,3464.54,866.23,,8,0.47
ORD-7042,25/01/2018,Alice Brown,india ,South,2219.64,-140.56,Furniture ,14,0.44
ORD-7317,05/03/2025,Chen Zhao,Canada,North,2273.2,,Office Supplies,10,0.22
ORD-6422,12/09/2018,Alice Brown,,South,4302.67,114.32,Office Supplies,6,0.26
ORD-3820,16/08/2023,Noah Taylor,Germany,South,350.82,976.63,Office Supplies,15,0.07
ORD-4396,22/10/2023,Noah Taylor,India,,3253.02,1487.01,tech,8,0.12
ORD-1307,21/01/2023,Noah Taylor,india ,Central,3313.97,616.05,Office Supplies,12,0.27
ORD-8587,29/10/2025,Noah Taylor,USA,South,2886.98,1158.47,Furniture ,6,0.45
ORD-5070,24/06/2020,Fatima Khan,USA,Central,2384.45,823.06,Technology,4,0.46
ORD-1251,01/09/2018,Fatima Khan,UK,East,4867.03,1317.95,Technology,8,0.28
ORD-1309,19/06/2019,Ravi Kumar,India,North,807.79,-65.24,tech,12,0.34
ORD-7835,10/05/2022,Noah Taylor,Australia,Central,1387.88,434.42,Technology,6,0.43
ORD-4929,28/03/2018,Ava Thomas,Australia,,3886.96,987.06,Furniture ,13,0.42
ORD-8457,01/06/2020,Fatima Khan,USA,East,2982.97,1204.79,Furniture ,3,0.06
ORD-4452,06/04/2019,Ravi Kumar,india ,Central,1438.84,328.99,Furniture,9,0.17
ORD-8792,23/04/2020,Alice Brown,USA,north ,4857.39,1027.5,Office Supplies,6,0.03
ORD-2997,08/04/2024,Ravi Kumar,UK,South,4169.95,-29.38,,6,0.28
ORD-7522,15/09/2024,David Johnson,Germany,north ,578.33,1220.6,,1,0.11
ORD-6527,21/06/2023,Alice Brown,,South,819.88,-380.32,Furniture,10,0.4
ORD-1186,23/02/2023,Fatima Khan,India,East,4990.78,70.88,Office Supplies,2,0.33
ORD-3937,30/06/2023,David Johnson,India,South,2115.06,-30.01,tech,12,0.14
ORD-4405,29/04/2024,John Smith,Germany, SOUTH,2208.45,1010.63,Furniture,15,0.05
ORD-2091,21/07/2021,Olivia Martin,Canada,East,1746.03,1157.79,Office Supplies,8,0.31
ORD-5810,12/05/2024,Fatima Khan,india ,North,981.23,-258.81,Technology,2,0.35
ORD-2000,26/04/2025,Ravi Kumar,UK,North,2735.12,-196.19,Office Supplies,3,0.3
ORD-1257,19/07/2025,Chen Zhao,Canada,north ,,316.68,Furniture,11,0.21
ORD-4570,22/05/2020,Noah Taylor,USA,East,2247.32,1377.23,Furniture,4,0.02
ORD-8753,30/12/2022,Chen Zhao,UK,North,809.44,-490.71,Office Supplies,1,0
ORD-9796,17/11/2024,Fatima Khan,india ,East,2720.64,162.64,Technology,10,0.17
ORD-5690,17/05/2023,Chen Zhao,USA,East,601.57,171.66,,5,0.47
ORD-8920,11/07/2021,Li Wei,Canada,north ,935.7,1485.68,Office Supplies,10,0.43
ORD-4571,10/11/2018,John Smith,,Central,1403.7,298.16,Furniture ,5,0.19
ORD-8277,14/10/2020,Chen Zhao,Germany,north ,2368.37,551.84,tech,5,0.3
ORD-1662,16/06/2024,John Smith,Australia,North,2985.18,849.47,Furniture,2,0.37
ORD-9625,05/08/2023,Fatima Khan,UK, SOUTH,636.99,148.78,,8,0.23
ORD-6803,08/02/2018,Chen Zhao,USA,South,3720.22,1155.55,Technology,13,0.37
ORD-2672,06/04/2018,Alice Brown,Germany,West,1199.04,1449.06,Furniture ,12,0.44
ORD-1185,09/05/2019,Li Wei,india ,north ,4142.26,510.84,Furniture ,15,0.23
ORD-2964,06/10/2022,David Johnson,Canada, SOUTH,439.84,-49.93,Office Supplies,7,0.18
ORD-5571,11/06/2018,John Smith,Australia, SOUTH,1340.16,1411.78,tech,5,0.21
ORD-9649,29/06/2024,Fatima Khan,Germany,West,163.7,-446.25,Furniture ,5,0.47
ORD-8867,30/09/2018,Chen Zhao,Germany,East,1579.65,-499.31,,10,0.14
ORD-1751,21/11/2019,Alice Brown,UK,Central,265.66,206.8,Office Supplies,2,0.44
ORD-2441,01/04/2019,Noah Taylor,Canada,East,3218.57,-326.94,Office Supplies,11,0.21
ORD-2380,28/06/2022,Ravi Kumar,Australia,South,1946.68,-434.67,Furniture,10,0.41
ORD-2072,17/02/2024,Fatima Khan,India,north ,757.62,1088.54,tech,13,0.23
ORD-1935,06/01/2023,Liam Wilson,india ,north ,4239.85,1371.79,Technology,3,0.47
ORD-5283,08/10/2024,David Johnson,USA, SOUTH,1783.67,1490.17,tech,4,0.15
ORD-7448,15/09/2023,Liam Wilson,India,South,1738.32,-287.16,tech,8,0.08
ORD-5334,19/10/2018,Chen Zhao,Canada,North,2703.87,77.6,Furniture ,13,0.21
ORD-1462,17/05/2024,Ava Thomas,Canada,north ,2858.99,-59.44,Technology,15,0.06
ORD-1658,05/11/2025,David Johnson,Canada,West,2684.16,206.18,Office Supplies,8,0.5
ORD-4969,17/08/2025,Ava Thomas,USA,north ,4571.15,-168.13,tech,12,0.4
ORD-5590,03/09/2023,Maria Garcia,Australia, SOUTH,2096.8,-196.84,Furniture ,9,0.21
ORD-5429,07/07/2024,David Johnson,Australia,North,4481.92,1387.11,tech,3,0.43
ORD-6157,23/02/2024,John Smith,Canada,North,3364.52,422.19,,13,0.07
ORD-8251,29/06/2019,Li Wei,Canada,West,2327.55,-245.53,Technology,15,0.05
ORD-9772,13/07/2020,Maria Garcia,india , SOUTH,483.65,1304.46,Office Supplies,9,0.42
ORD-9114,18/07/2020,Ravi Kumar,Germany,East,4123.82,1353.8,Technology,14,0.11
ORD-9078,04/06/2019,Noah Taylor,Canada,,1379.64,1295.46,Technology,2,0.29
ORD-3619,13/08/2019,Ravi Kumar,Germany,,1874.24,-453.3,,5,0.36
ORD-5477,22/05/2023,John Smith,india ,,,807.48,Furniture ,4,0.49
ORD-1229,29/10/2019,Liam Wilson,india ,north ,1621.09,295.6,Technology,8,0.32
ORD-7602,18/05/2022,Ava Thomas,,Central,2083.59,229.7,Office Supplies,12,0.37
ORD-3103,05/11/2023,John Smith,India,Central,1753.68,1313.14,Furniture ,4,0.15
ORD-4082,07/05/2021,David Johnson,Canada,north ,560.73,1479.29,Furniture ,11,0.43
ORD-4808,28/03/2024,John Smith,India,,932.76,1283.1,Furniture,3,0.22
ORD-8806,07/10/2024,David Johnson,india ,Central,2604.37,1312.97,,7,0.09
ORD-8421,28/12/2024,Li Wei,Canada,East,4297.68,-219.6,Technology,9,0.17
ORD-3475,29/07/2023,David Johnson,UK,Central,2304.6,356.45,,2,0.43
