OrderID,OrderDate,Customer,Country,Region,Sales,Profit,Category,Quantity,Discount,Profit_Margin
ORD-3649,2023-06-07,Fatima Khan,CANADA,East,182.82,-359.05,Office Supplies,6,0.12,-1.9639536155781645
ORD-5226,2020-11-06,John Smith,INDIA,SOUTH,4158.63,-192.5,Furniture,6,0.1,-0.046289282768604084
ORD-2504,2025-05-12,David Johnson,AUSTRALIA,Central,2891.64,-494.53,Furniture,14,0.5,-0.17102059730810198
ORD-2239,2018-03-01,alice brown,AUSTRALIA,South,1931.36,999.61,tech,4,0.39,0.5175679314058488
ORD-8001,2023-08-11,Olivia Martin,GERMANY,north,2508.14,619.78,tech,8,0.14,0.24710765059787304
ORD-9317,2022-04-08,Chen Zhao,GERMANY,East,2249.11,913.56,tech,5,0.29,0.40618733632414594
ORD-5255,2021-05-28,Ava Thomas,GERMANY,East,3283.01,617.84,Furniture,10,0.08,0.18819315201598533
ORD-9076,2018-02-24,Alice Brown,GERMANY,West,3525.22,868.3,tech,8,0.32,0.24631086854153783
ORD-4596,2019-03-07,Chen Zhao,INDIA,SOUTH,3774.51,119.07,Furniture,6,0.42,0.031545816543074465
ORD-2342,2022-05-07,David Johnson,INDIA,East,3645.46,1026.41,Furniture,9,0.29,0.28155843158339416
ORD-3253,2023-01-24,John Smith,CANADA,South,4774.56,-178.64,Office Supplies,10,0.37,-0.03741496598639455
ORD-6519,2020-05-05,Chen Zhao,USA,North,2236.54,-245.64,tech,7,0.12,-0.10983036297137543
ORD-1090,2018-08-19,Ava Thomas,UK,Central,3301.32,764.16,tech,8,0.31,0.23147104794445855
ORD-7924,2024-01-20,Maria Garcia,INDIA,South,1158.54,523.89,Furniture,8,0.47,0.45219845667823294
ORD-7106,2022-02-01,Ravi Kumar,GERMANY,north,3436.23,1362.76,Furniture,14,0.46,0.3965857931512151
ORD-4472,2020-11-01,Liam Wilson,UK,SOUTH,4497.88,-24.07,tech,6,0.08,-0.005351409997598869
ORD-5882,2024-10-21,Ravi Kumar,INDIA,North,4538.46,-125.68,tech,1,0.02,-0.02769221277702128
ORD-8151,2019-05-06,Chen Zhao,GERMANY,South,3129.12,-56.27,Office Supplies,4,0.04,-0.017982691619369027
ORD-6021,2024-06-15,Olivia Martin,INDIA,NORTH,2652.14,1311.48,Furniture,6,0.07,0.49449878211557463
ORD-5946,2025-12-31,Ravi Kumar,GERMANY,West,2456.5,58.91,Furniture,12,0.4,0.02398127417056788
ORD-8694,2020-11-25,Olivia Martin,INDIA,north,3959.07,-466.68,Technology,5,0.04,-0.11787616788791307
ORD-3636,2024-05-13,Liam Wilson,AUSTRALIA,West,4309.96,472.87,Furniture,8,0.15,0.10971563541192958
ORD-9520,2024-07-30,David Johnson,INDIA,South,960.57,-469.86,tech,14,0.01,-0.4891470689278241
ORD-3980,2024-10-14,David Johnson,GERMANY,East,3870.02,-185.28,Technology,15,0.49,-0.047875721572498336
ORD-4837,2024-08-16,Ravi Kumar,AUSTRALIA,South,2169.92,-478.48,tech,10,0.19,-0.22050582509954283
ORD-6062,2021-01-25,Noah Taylor,USA,East,3209.17,-291.39,tech,13,0.3,-0.09079917860381344
ORD-3361,2021-12-26,Maria Garcia,CANADA,SOUTH,2716.29,380.45,Furniture,13,0.36,0.14006236447507445
ORD-7417,2024-08-26,Liam Wilson,INDIA,South,3990.46,1464.65,Furniture,3,0.43,0.36703788535657544
ORD-9762,2022-07-14,John Smith,INDIA,East,931.68,-379.82,Furniture,3,0.25,-0.4076721621157479
ORD-6364,2022-11-22,Liam Wilson,INDIA,SOUTH,1361.01,47.06,tech,7,0.09,0.03457726247419196
ORD-4773,2025-05-06,John Smith,INDIA,West,2989.01,170.4,Furniture,3,0.13,0.057008842392631674
ORD-7498,2022-07-30,Noah Taylor,CANADA,North,4164.26,1364.15,tech,6,0.16,0.3275852132191554
ORD-1789,2022-05-17,Chen Zhao,CANADA,North,2109.26,688.63,tech,4,0.45,0.3264794288044148
ORD-8490,2018-03-14,Noah Taylor,INDIA,North,2682.45,-434.34,Furniture,13,0.05,-0.16191914108371078
ORD-4231,2025-10-20,Noah Taylor,CANADA,SOUTH,1424.66,181.04,tech,7,0.24,0.12707593390703745
ORD-5636,2022-03-17,Li Wei,INDIA,SOUTH,3642.35,500.22,tech,9,0.15,0.13733442147696948
ORD-9782,2018-04-02,Ravi Kumar,UK,East,1037.35,915.23,Furniture,9,0.33,0.8822769557044393
ORD-6543,2025-04-12,Maria Garcia,AUSTRALIA,West,3385.31,-70.92,Technology,4,0.39,-0.020949336988340804
ORD-2115,2024-05-18,Maria Garcia,CANADA,SOUTH,1574.87,144.27,Furniture,15,0.14,0.09160756125902457
ORD-8905,2021-02-24,Noah Taylor,USA,SOUTH,1401.19,113.04,tech,12,0.05,0.0806742840014559
ORD-5813,2022-06-23,Chen Zhao,AUSTRALIA,Central,1382.41,1098.11,Technology,15,0.04,0.7943446589651405
ORD-2523,2018-08-05,John Smith,CANADA,North,2715.24,353.36,Office Supplies,3,0.3,0.1301395088463635
ORD-7837,2020-06-12,David Johnson,GERMANY,SOUTH,4172.6,-129.91,tech,14,0.01,-0.031134065091309972
ORD-6916,2022-08-28,Chen Zhao,GERMANY,Central,4173.18,14.87,Office Supplies,10,0.38,0.003563229958928203
ORD-7006,2023-03-02,Chen Zhao,INDIA,South,467.58,-264.45,Furniture,8,0.2,-0.5655716668805338
ORD-3303,2018-05-28,Ravi Kumar,USA,Central,1268.85,495.49,Office Supplies,15,0.29,0.3905032115695315
ORD-4834,2024-08-10,Maria Garcia,CANADA,East,2445.14,837.0,tech,11,0.29,0.3423116876743254
ORD-7426,2025-07-16,John Smith,USA,West,2004.83,43.54,tech,4,0.28,0.021717552111650364
ORD-6136,2023-04-26,John Smith,AUSTRALIA,West,1980.06,-45.87,tech,4,0.1,-0.023165964667737342
ORD-7250,2022-03-22,Liam Wilson,CANADA,SOUTH,3406.68,36.14,Office Supplies,7,0.33,0.01060856904669649
ORD-8341,2018-09-04,Olivia Martin,GERMANY,South,3447.0,1259.8,Office Supplies,11,0.26,0.3654772265738323
ORD-4595,2024-02-14,Ava Thomas,USA,West,4740.29,980.45,Furniture,14,0.42,0.20683333720088856
ORD-2588,2019-09-09,Chen Zhao,INDIA,West,4112.18,254.08,tech,5,0.39,0.06178717857681327
ORD-9337,2022-03-03,Chen Zhao,INDIA,SOUTH,3679.0,938.53,tech,5,0.19,0.25510464800217447
ORD-7346,2023-03-25,John Smith,CANADA,West,2763.06,239.27,Technology,6,0.0,0.08659602035424493
ORD-1235,2018-06-20,David Johnson,CANADA,SOUTH,1794.49,816.81,Office Supplies,11,0.04,0.45517667972515863
ORD-4042,2018-06-14,Li Wei,GERMANY,Central,4118.5,742.65,tech,14,0.41,0.18032050503824207
ORD-5992,2018-08-22,Li Wei,GERMANY,West,3115.82,-348.13,tech,5,0.01,-0.11172981751192301
ORD-1154,2020-02-12,Ravi Kumar,UK,Central,1481.19,447.44,Furniture,10,0.06,0.30208143452224223
ORD-2119,2025-10-15,Ravi Kumar,INDIA,West,1203.68,-141.65,tech,10,0.31,-0.11768077894456998
ORD-9035,2019-09-24,Liam Wilson,CANADA,West,120.28,1381.38,tech,11,0.19,11.4847023611573
ORD-3935,2023-06-12,Fatima Khan,INDIA,SOUTH,4872.36,-435.35,tech,9,0.18,-0.08935095107914852
ORD-1233,2022-02-20,Alice Brown,INDIA,SOUTH,3931.58,543.58,Furniture,2,0.5,0.13825993620885244
ORD-3167,2025-01-07,Noah Taylor,UK,East,1021.4,253.91,Furniture,10,0.25,0.24859017035441552
ORD-9662,2025-11-24,John Smith,UK,SOUTH,501.78,100.34,tech,11,0.3,0.19996811351588348
ORD-2406,2023-04-10,John Smith,AUSTRALIA,East,4759.89,53.84,tech,15,0.13,0.011311185762696198
ORD-6027,2019-07-18,Chen Zhao,INDIA,SOUTH,3013.47,-256.43,Technology,14,0.06,-0.0850945919488165
ORD-1683,2021-11-09,John Smith,UK,SOUTH,79.37,-73.31,Furniture,15,0.15,-0.9236487337785058
ORD-8022,2023-11-26,Fatima Khan,INDIA,SOUTH,1233.19,333.29,Furniture,4,0.48,0.2702665444903056
ORD-6747,2021-03-15,Liam Wilson,GERMANY,South,665.44,1425.31,tech,1,0.37,2.1419061072373164
ORD-4116,2025-10-06,Noah Taylor,USA,north,4225.17,824.41,tech,8,0.16,0.19511877628592458
ORD-7015,2019-03-29,Li Wei,INDIA,SOUTH,160.76,248.24,Furniture,7,0.15,1.5441652152276688
ORD-6425,2022-02-26,Liam Wilson,CANADA,SOUTH,4630.69,1262.84,tech,1,0.17,0.2727109782775353
ORD-8336,2023-05-20,Liam Wilson,INDIA,SOUTH,3548.96,-31.3,Furniture,2,0.16,-0.008819485144943871
ORD-2538,2018-04-19,Alice Brown,CANADA,SOUTH,3693.77,701.99,Furniture,8,0.33,0.1900470251260907
ORD-8948,2025-04-23,Alice Brown,AUSTRALIA,South,2502.3,500.22,Technology,12,0.02,0.19990410025442182
ORD-1033,2020-05-29,Alice Brown,UK,north,3720.18,220.9,Furniture,8,0.13,0.05937884726007882
ORD-2113,2024-06-17,Maria Garcia,INDIA,Central,4335.42,793.37,Furniture,15,0.07,0.18299726439422248
ORD-6135,2018-10-05,Maria Garcia,INDIA,South,1134.18,1397.38,Furniture,15,0.12,1.2320619302050821
ORD-6003,2024-12-01,Ravi Kumar,INDIA,SOUTH,3567.2,-430.16,Furniture,14,0.26,-0.12058757568961652
ORD-5215,2025-10-21,David Johnson,INDIA,North,3647.2,1269.45,tech,4,0.43,0.3480615266505813
ORD-4726,2018-07-04,fatima khan,INDIA,north,3699.55,-460.4,Office Supplies,14,0.28,-0.12444756794745306
ORD-1095,2023-05-30,John Smith,INDIA,South,282.31,755.38,Office Supplies,8,0.42,2.6757110977294465
ORD-1678,2019-07-02,Fatima Khan,INDIA,north,2619.58,1456.93,tech,11,0.0,0.5561693095839791
ORD-7263,2019-03-26,Ava Thomas,CANADA,South,383.82,636.32,tech,15,0.34,1.6578604554218124
ORD-5677,2020-09-14,Fatima Khan,INDIA,north,1831.08,306.22,tech,1,0.25,0.1672346374817048
ORD-5332,2023-08-18,Maria Garcia,CANADA,North,53.27,1331.97,Office Supplies,1,0.01,25.00412990426131
ORD-6598,2024-01-31,John Smith,CANADA,West,3023.8,1375.12,Furniture,8,0.22,0.4547655268205569
ORD-4062,2025-11-24,Chen Zhao,INDIA,South,4748.93,321.13,Technology,14,0.14,0.06762154843301543
ORD-7619,2023-04-10,David Johnson,INDIA,West,1919.94,1370.73,tech,3,0.39,0.7139441857558049
ORD-1740,2025-04-13,Chen Zhao,UK,South,4873.87,49.68,Furniture,13,0.19,0.010193131946481955
ORD-3813,2021-10-22,Ravi Kumar,INDIA,SOUTH,1887.78,1123.65,tech,6,0.33,0.5952229603025777
ORD-4077,2023-05-16,Olivia Martin,INDIA,South,3593.88,343.06,tech,4,0.4,0.09545672086992331
ORD-1283,2018-09-06,David Johnson,CANADA,East,1660.57,230.07,Office Supplies,8,0.13,0.13854881155265963
ORD-2973,2022-02-26,Chen Zhao,GERMANY,CENTRAL,2781.77,1351.39,tech,8,0.42,0.4858022050708722
ORD-5750,2021-05-30,Ava Thomas,UK,North,4932.0,756.3,tech,12,0.16,0.153345498783455
ORD-5521,2019-04-04,Li Wei,AUSTRALIA,South,958.72,872.4,tech,9,0.35,0.9099632843791722
ORD-4239,2020-04-10,Maria Garcia,INDIA,West,1351.71,-272.57,Office Supplies,2,0.2,-0.20164828254581232
ORD-1789,2025-02-11,Alice Brown,USA,North,228.79,-116.74,Furniture,7,0.08,-0.5102495738450107
ORD-8299,2025-10-12,Li Wei,INDIA,Central,3378.77,172.3,tech,6,0.12,0.05099488867250509
ORD-2503,2019-09-14,John Smith,INDIA,north,746.81,345.72,Office Supplies,8,0.11,0.462928991309704
ORD-2315,2021-05-29,Alice Brown,INDIA,SOUTH,2390.95,1456.07,Office Supplies,13,0.03,0.6089922415776157
ORD-6036,2023-04-16,Olivia Martin,GERMANY,North,4437.92,145.17,Office Supplies,9,0.13,0.03271127014457223
ORD-1773,2023-07-09,Alice Brown,AUSTRALIA,SOUTH,2413.1,-117.43,Furniture,4,0.45,-0.04866354481786914
ORD-7385,2025-11-20,Liam Wilson,INDIA,East,4386.19,444.54,Furniture,15,0.24,0.1013499187221712
ORD-1539,2019-05-16,Li Wei,INDIA,SOUTH,3280.26,-149.06,Furniture,11,0.29,-0.04544151987952174
ORD-4505,2021-10-24,noah taylor,GERMANY,East,525.69,205.35,Furniture,5,0.36,0.39062945842606855
ORD-9968,2022-05-08,Liam Wilson,INDIA,North,1263.88,37.56,Technology,14,0.06,0.02971801120359528
ORD-7334,2020-09-30,Fatima Khan,GERMANY,Central,1141.66,665.73,Furniture,5,0.49,0.5831245729902073
ORD-2244,2020-06-16,Ava Thomas,INDIA,north,3964.2,-27.5,tech,10,0.06,-0.006937086928005651
ORD-4393,2022-04-22,David Johnson,INDIA,South,2907.09,-58.21,Furniture,2,0.33,-0.02002345988600284
ORD-4710,2025-08-16,Noah Taylor,AUSTRALIA,North,1695.47,931.65,Technology,15,0.06,0.5494936507281166
ORD-3644,2021-02-20,David Johnson,INDIA,West,3190.7,1029.15,Office Supplies,14,0.05,0.3225467765694049
ORD-4449,2019-04-01,Olivia Martin,INDIA,NORTH,3235.59,-481.97,tech,5,0.09,-0.14895892248399828
ORD-3432,2019-01-08,Olivia Martin,GERMANY,East,4314.87,274.84,Technology,2,0.29,0.0636960093815109
ORD-1654,2024-03-22,John Smith,USA,SOUTH,4276.99,248.56,Furniture,10,0.12,0.05811563739919897
ORD-6677,2025-11-24,Ava Thomas,INDIA,South,4586.42,399.1,tech,6,0.42,0.08701776112959564
ORD-2065,2025-12-24,Noah Taylor,USA,East,2998.41,500.22,Furniture,7,0.21,0.16682842908963078
ORD-7087,2023-03-24,Ravi Kumar,AUSTRALIA,West,2440.88,1152.96,tech,13,0.43,0.47235423289961
ORD-2392,2019-08-06,liam wilson,INDIA,South,4067.3,-195.69,tech,12,0.33,-0.04811299879526958
ORD-4294,2023-04-05,Maria Garcia,AUSTRALIA,north,175.03,746.28,Furniture,7,0.44,4.263726218362566
ORD-1959,2023-11-03,Fatima Khan,INDIA,SOUTH,3784.99,694.19,Furniture,10,0.21,0.18340603277683695
ORD-7758,2019-11-20,Liam Wilson,AUSTRALIA,north,3847.94,986.17,Office Supplies,5,0.09,0.25628518116186844
ORD-9953,2020-05-08,Li Wei,INDIA,north,2257.17,745.4,Office Supplies,5,0.26,0.33023653513027373
ORD-3370,2023-09-01,Chen Zhao,UK,north,937.36,188.62,Technology,2,0.32,0.2012247162242895
ORD-3803,2019-06-03,Maria Garcia,USA,West,2633.74,866.16,Technology,3,0.14,0.32887073135541095
ORD-2163,2025-07-10,Alice Brown,INDIA,north,635.91,1488.57,Office Supplies,3,0.46,2.3408501203000425
ORD-9942,2019-02-19,Fatima Khan,CANADA,Central,4470.02,541.56,Office Supplies,6,0.32,0.12115382034084857
ORD-8190,2018-07-01,Maria Garcia,AUSTRALIA,Central,4528.57,-194.22,Furniture,13,0.28,-0.04288771069012956
ORD-6047,2022-06-23,Chen Zhao,INDIA,SOUTH,3365.63,465.06,Furniture,3,0.36,0.13817918190650785
ORD-4444,2023-07-19,Li Wei,INDIA,Central,1518.94,148.06,tech,6,0.21,0.09747587133132316
ORD-7327,2024-01-29,Ravi Kumar,CANADA,SOUTH,421.45,320.61,Office Supplies,10,0.04,0.7607308102977816
ORD-9850,2025-12-31,Liam Wilson,INDIA,West,2337.38,-136.06,Furniture,9,0.35,-0.058210474976255464
ORD-9657,2021-06-11,Alice Brown,UK,North,4667.31,-41.04,tech,5,0.04,-0.008793073526292446
ORD-4144,2018-12-12,Liam Wilson,CANADA,Central,2606.47,363.78,Furniture,3,0.31,0.1395680748291751
ORD-6988,2019-04-02,Ava Thomas,UK,North,4519.58,879.09,Office Supplies,1,0.15,0.1945070117134778
ORD-9820,2020-01-07,David Johnson,GERMANY,SOUTH,3149.4,166.34,Technology,6,0.23,0.0528164094748206
ORD-1686,2018-05-05,Noah Taylor,INDIA,Central,2078.35,500.22,tech,5,0.44,0.24068132415937632
ORD-4281,2022-10-31,David Johnson,UK,East,1019.08,1126.44,tech,9,0.28,1.105349923460376
ORD-2192,2018-01-02,David Johnson,UK,South,3794.64,1494.78,Technology,12,0.11,0.39391879071532476
ORD-3521,2025-05-14,Ravi Kumar,INDIA,Central,2014.76,1220.46,Furniture,4,0.32,0.6057594949274355
ORD-8685,2019-02-03,Olivia Martin,AUSTRALIA,North,3388.01,1080.3,tech,5,0.39,0.31885974362531394
ORD-3588,2025-05-16,Liam Wilson,CANADA,South,217.97,319.46,Furniture,4,0.09,1.4656145341101985
ORD-2852,2019-01-05,Ava Thomas,AUSTRALIA,South,2752.03,489.12,Office Supplies,10,0.06,0.17773062066910605
ORD-1071,2024-06-22,Ravi Kumar,AUSTRALIA,SOUTH,3077.34,487.0,Furniture,8,0.04,0.15825355664307486
ORD-7746,2021-02-10,Ava Thomas,AUSTRALIA,West,244.95,-330.31,Furniture,3,0.36,-1.3484792814860176
ORD-3856,2020-08-18,Fatima Khan,INDIA,South,386.23,717.56,Technology,9,0.11,1.857856717499935
ORD-2298,2019-12-12,Maria Garcia,GERMANY,West,1095.85,500.22,Furniture,10,0.18,0.45646760967891575
ORD-6304,2025-02-13,David Johnson,INDIA,SOUTH,332.04,91.52,Furniture,12,0.45,0.27562944223587516
ORD-6861,2020-02-15,Olivia Martin,CANADA,SOUTH,2352.69,1340.04,tech,14,0.46,0.5695778024304095
ORD-6692,2019-06-14,John Smith,CANADA,north,2721.24,-57.83,Technology,2,0.13,-0.021251341300289574
ORD-2149,2023-05-21,Alice Brown,CANADA,SOUTH,785.46,1190.82,Furniture,4,0.43,1.5160797494461842
ORD-4038,2025-04-27,fatima khan,GERMANY,SOUTH,2296.97,905.43,Technology,15,0.27,0.39418451264056564
ORD-4525,2024-04-22,David Johnson,AUSTRALIA,South,2236.17,-81.01,tech,7,0.33,-0.03622712047831784
ORD-6966,2022-05-30,Chen Zhao,INDIA,SOUTH,1805.5,1413.75,Furniture,11,0.44,0.7830240930490169
ORD-2573,2021-04-26,John Smith,AUSTRALIA,SOUTH,1187.2,882.9,Office Supplies,14,0.11,0.743682614555256
ORD-6839,2022-02-16,Ava Thomas,UK,SOUTH,3464.54,866.23,tech,8,0.47,0.25002742066767886
ORD-7042,2018-01-25,Alice Brown,INDIA,South,2219.64,-140.56,Furniture,14,0.44,-0.0633255843289903
ORD-7317,2025-03-05,Chen Zhao,CANADA,North,2273.2,500.22,Office Supplies,10,0.22,0.22005104261245811
ORD-6422,2018-09-12,Alice Brown,INDIA,South,4302.67,114.32,Office Supplies,6,0.26,0.026569548675589805
ORD-3820,2023-08-16,Noah Taylor,GERMANY,South,350.82,976.63,Office Supplies,15,0.07,2.783849267430591
ORD-4396,2023-10-22,Noah Taylor,INDIA,SOUTH,3253.02,1487.01,tech,8,0.12,0.45711677149233637
ORD-1307,2023-01-21,Noah Taylor,INDIA,Central,3313.97,616.05,Office Supplies,12,0.27,0.1858948632606813
ORD-8587,2025-10-29,Noah Taylor,USA,South,2886.98,1158.47,Furniture,6,0.45,0.4012739956632883
